index,org_code,period,attendances,breaches
431,RQQ,Feb-17,"3,353.0",765.0
432,RGQ,Feb-17,"6,478.0",723.0
434,RGP,Feb-17,"5,269.0",683.0
436,RNQ,Feb-17,"6,587.0","1,502.0"
440,RC9,Feb-17,"7,677.0",199.0
445,RQ8,Feb-17,"6,980.0",838.0
447,RD8,Feb-17,"6,430.0","1,181.0"
450,RM1,Feb-17,"8,464.0","2,061.0"
452,RGN,Feb-17,"6,853.0","1,104.0"
454,RNS,Feb-17,"7,796.0","1,899.0"
458,RX1,Feb-17,"13,183.0","3,028.0"
465,RXK,Feb-17,"12,951.0","3,034.0"
468,RK5,Feb-17,"7,642.0",565.0
470,RXW,Feb-17,"8,779.0","2,497.0"
475,RJC,Feb-17,"4,651.0",225.0
477,RAJ,Feb-17,"7,328.0","1,079.0"
480,RNA,Feb-17,"7,769.0","1,064.0"
482,RQW,Feb-17,"7,459.0","2,395.0"
483,RCX,Feb-17,"4,553.0",433.0
484,RL4,Feb-17,"9,797.0","1,689.0"
486,RWD,Feb-17,"11,196.0","2,759.0"
487,RRK,Feb-17,"8,753.0","1,654.0"
488,RKB,Feb-17,"10,339.0","2,822.0"
491,RWE,Feb-17,"10,612.0","2,793.0"
494,RJE,Feb-17,"12,948.0","3,777.0"
497,RBK,Feb-17,"5,593.0","1,636.0"
500,RWG,Feb-17,"7,178.0","2,324.0"
502,RGR,Feb-17,"5,050.0",812.0
503,RWP,Feb-17,"8,647.0","2,957.0"
505,RLQ,Feb-17,"3,908.0",965.0
507,REM,Feb-17,"6,217.0","1,713.0"
509,RCF,Feb-17,"4,577.0",254.0
510,RBS,Feb-17,"4,536.0",137.0
511,RFF,Feb-17,"6,281.0",943.0
512,RXL,Feb-17,"6,229.0","2,417.0"
514,RMC,Feb-17,"7,749.0","1,231.0"
516,RAE,Feb-17,"9,969.0",988.0
519,RWY,Feb-17,"11,252.0",737.0
520,RW3,Feb-17,"11,747.0","2,453.0"
523,RLN,Feb-17,"7,168.0","1,242.0"
526,RJR,Feb-17,"5,275.0",713.0
528,RXP,Feb-17,"9,468.0","1,603.0"
531,RP5,Feb-17,"9,793.0","1,360.0"
533,RJN,Feb-17,"3,436.0",775.0
535,RXR,Feb-17,"7,824.0","2,365.0"
538,RR7,Feb-17,"6,572.0",387.0
540,RCD,Feb-17,"3,290.0",208.0
542,RWA,Feb-17,"9,827.0","1,957.0"
545,RXN,Feb-17,"5,084.0","1,506.0"
548,RR8,Feb-17,"15,978.0","2,830.0"
554,RBT,Feb-17,"4,861.0",410.0
556,RXF,Feb-17,"17,442.0","3,092.0"
557,RNL,Feb-17,"6,822.0",945.0
558,RVW,Feb-17,"5,220.0",481.0
562,RJL,Feb-17,"9,989.0","2,698.0"
564,RTF,Feb-17,"7,094.0","1,223.0"
566,RW6,Feb-17,"20,121.0","5,159.0"
569,RQ6,Feb-17,"6,775.0","2,290.0"
