index,org_code,period,admissions
1572,RJN,2016-11-01,933
1574,RXR,2016-11-01,3086
1577,RR7,2016-11-01,1614
1579,RCD,2016-11-01,949
1581,RWA,2016-11-01,3133
1584,RXN,2016-11-01,1838
1587,RR8,2016-11-01,4802
1593,RBT,2016-11-01,1772
1595,RXF,2016-11-01,4575
1596,RNL,2016-11-01,2101
1597,RVW,2016-11-01,1542
1601,RJL,2016-11-01,2458
1603,RTF,2016-11-01,3848
1605,RW6,2016-11-01,5138
1608,RQ6,2016-11-01,2180
1611,RM3,2016-11-01,2737
1612,RCU,2016-11-01,724
1613,RHQ,2016-11-01,2549
1616,RTR,2016-11-01,2224
1618,RE9,2016-11-01,1313
1620,RVY,2016-11-01,1919
1622,RBN,2016-11-01,3410
1624,RWJ,2016-11-01,2513
1625,RMP,2016-11-01,1637
1626,RTD,2016-11-01,2058
1629,RM2,2016-11-01,2599
1630,RTX,2016-11-01,2057
1632,RWW,2016-11-01,2690
1635,RBL,2016-11-01,2485
1638,RRF,2016-11-01,1744
1639,RCB,2016-11-01,3224
1641,RTK,2016-11-01,2024
1647,RXH,2016-11-01,3503
1650,RXQ,2016-11-01,2772
1656,RN7,2016-11-01,2585
1658,RBD,2016-11-01,1290
1660,RVV,2016-11-01,3168
1662,RXC,2016-11-01,2657
1664,RDU,2016-11-01,6292
1666,RTE,2016-11-01,3468
1667,RN3,2016-11-01,2348
1669,RN5,2016-11-01,2320
1672,R1F,2016-11-01,779
1676,RWF,2016-11-01,3432
1678,RPA,2016-11-01,2026
1679,RVJ,2016-11-01,2444
1680,RBZ,2016-11-01,1092
1684,RTH,2016-11-01,3354
1687,RK9,2016-11-01,2882
1689,RD3,2016-11-01,1654
1691,RHU,2016-11-01,3098
1695,RHW,2016-11-01,3071
1697,REF,2016-11-01,2402
1699,RH8,2016-11-01,1964
1701,RA2,2016-11-01,2088
1702,RD1,2016-11-01,2161
1704,RNZ,2016-11-01,996
1712,RTP,2016-11-01,2623
1714,RBA,2016-11-01,1642
1716,RDZ,2016-11-01,1753
1718,RA9,2016-11-01,2374
1720,RHM,2016-11-01,3163
1722,RA7,2016-11-01,3064
1724,RYR,2016-11-01,3287
1726,RA3,2016-11-01,944
1731,RA4,2016-11-01,1316
1732,RF4,2016-10-01,4570
1735,R1H,2016-10-01,6848
1740,RQM,2016-10-01,3563
1742,RJ6,2016-10-01,2160
1746,RVR,2016-10-01,2973
1748,RJ1,2016-10-01,3205
1752,RQX,2016-10-01,1703
1754,RYJ,2016-10-01,3266
1757,RJZ,2016-10-01,4366
1760,RAX,2016-10-01,1747
1762,RJ2,2016-10-01,4904
1764,R1K,2016-10-01,5060
1768,RAP,2016-10-01,2950
1772,RAL,2016-10-01,3716
1775,RJ7,2016-10-01,3895
1778,RAS,2016-10-01,1638
1782,RKE,2016-10-01,1214
1783,RRV,2016-10-01,1997
1787,RDD,2016-10-01,2259
1788,RC1,2016-10-01,1664
1790,RQ3,2016-10-01,1080
1791,RJF,2016-10-01,1717
1793,RGT,2016-10-01,2941
1795,RFS,2016-10-01,1986
1797,RDE,2016-10-01,2547
1800,RTG,2016-10-01,3423
1804,RWH,2016-10-01,3263
1808,RLT,2016-10-01,1091
1811,RR1,2016-10-01,6082
1814,RQQ,2016-10-01,871
1815,RGQ,2016-10-01,1953
1817,RGP,2016-10-01,1178
1819,RNQ,2016-10-01,2496
1823,RC9,2016-10-01,2686
1828,RQ8,2016-10-01,2198
1830,RD8,2016-10-01,1291
1832,RM1,2016-10-01,2559
1835,RGN,2016-10-01,2222
1837,RNS,2016-10-01,2830
1841,RX1,2016-10-01,4095
1848,RXK,2016-10-01,3181
1851,RK5,2016-10-01,2696
1853,RXW,2016-10-01,2273
1858,RJC,2016-10-01,1679
1860,RAJ,2016-10-01,2236
1862,RNA,2016-10-01,2510
1864,RQW,2016-10-01,1646
1866,RCX,2016-10-01,2060
1867,RL4,2016-10-01,2536
1869,RWD,2016-10-01,3432
1870,RRK,2016-10-01,2775
1871,RKB,2016-10-01,4076
1874,RWE,2016-10-01,3688
1877,RJE,2016-10-01,4226
1880,RBK,2016-10-01,1959
1883,RWG,2016-10-01,3040
1885,RGR,2016-10-01,2017
1886,RWP,2016-10-01,2804
1889,RLQ,2016-10-01,1002
1891,REM,2016-10-01,2197
1893,RCF,2016-10-01,962
1894,RBS,2016-10-01,1156
1895,RFF,2016-10-01,2034
1896,RXL,2016-10-01,2127
1898,RMC,2016-10-01,2350
1899,RAE,2016-10-01,2974
1902,RWY,2016-10-01,2746
1904,RW3,2016-10-01,3907
1907,RLN,2016-10-01,2775
1910,RJR,2016-10-01,1612
1912,RXP,2016-10-01,3163
1915,RP5,2016-10-01,3426
1917,RJN,2016-10-01,978
1919,RXR,2016-10-01,3320
1922,RR7,2016-10-01,1682
1924,RCD,2016-10-01,922
1926,RWA,2016-10-01,1876
1929,RXN,2016-10-01,2048
1932,RR8,2016-10-01,5086
1938,RBT,2016-10-01,2025
1940,RXF,2016-10-01,4555
1941,RNL,2016-10-01,2098
1942,RVW,2016-10-01,1542
1946,RJL,2016-10-01,2500
1948,RTF,2016-10-01,3958
1950,RW6,2016-10-01,4957
1953,RQ6,2016-10-01,2335
1956,RM3,2016-10-01,2869
1957,RCU,2016-10-01,704
1958,RHQ,2016-10-01,2769
1961,RTR,2016-10-01,2053
1963,RE9,2016-10-01,1286
1965,RVY,2016-10-01,1975
1967,RBN,2016-10-01,3370
1969,RWJ,2016-10-01,2465
1970,RMP,2016-10-01,1779
1971,RTD,2016-10-01,2325
1974,RFR,2016-10-01,1412
1975,RM2,2016-10-01,2592
1976,RTX,2016-10-01,2043
1978,RWW,2016-10-01,2815
1981,RBL,2016-10-01,2387
1984,RRF,2016-10-01,1805
1985,RCB,2016-10-01,3427
1987,RTK,2016-10-01,2074
1993,RXH,2016-10-01,3578
1996,RXQ,2016-10-01,2717
2002,RN7,2016-10-01,2513
2004,RBD,2016-10-01,1322
2006,RVV,2016-10-01,3176
2008,RXC,2016-10-01,2619
2009,RDU,2016-10-01,6258
2011,RTE,2016-10-01,3608
2012,RN3,2016-10-01,2439
2014,RN5,2016-10-01,2244
2017,R1F,2016-10-01,825
2021,RWF,2016-10-01,3464
2023,RPA,2016-10-01,1939
2024,RVJ,2016-10-01,2567
2025,RBZ,2016-10-01,1193
2029,RTH,2016-10-01,3266
2032,RK9,2016-10-01,2960
2034,RD3,2016-10-01,1725
2035,RHU,2016-10-01,3168
2039,RHW,2016-10-01,2915
2041,REF,2016-10-01,2538
2043,RH8,2016-10-01,1950
2045,RA2,2016-10-01,2001
2046,RD1,2016-10-01,2181
2048,RNZ,2016-10-01,1006
2055,RTP,2016-10-01,2551
2057,RBA,2016-10-01,1687
2059,RDZ,2016-10-01,1814
2061,RA9,2016-10-01,2463
2063,RHM,2016-10-01,3285
2065,RA7,2016-10-01,2940
2067,RYR,2016-10-01,3325
2069,RA3,2016-10-01,1050
2074,RA4,2016-10-01,1083
2075,RF4,2016-09-01,4243
2078,R1H,2016-09-01,6846
2083,RQM,2016-09-01,3260
2085,RJ6,2016-09-01,1899
2089,RVR,2016-09-01,2952
2091,RJ1,2016-09-01,3166
2095,RQX,2016-09-01,1552
